time,comment
00:00.0,"witte volgspot"
00:14.9,"witte lijn"
00:25.3,"donkerblauw"
00:36.1,"rood passie"
01:07.2,"licht oranje"
01:23.0,"geel fluitdans"
01:36.8,"licht uit"
01:37.4,"speech midden"
01:43.5,"moving heads"
01:47.5,"rope poses"
02:03.6,"violet happy"
02:41.5,"chinese wheel"
03:21.0,"feest kleuren"
03:34.0,"geel traveller"
03:51.0,"eindpose"
