time,comment
00:00.0,"mysterious box"
00:07.0,""
00:14.0,""
00:29.0,""
00:35.0,""
00:37.5,""
00:40.5,""
00:53.3,""
01:03.9,""
01:14.5,""
01:26.5,""
01:32.0,""
01:33.0,""
01:41.5,""
01:49.3,""
01:56.5,""
02:11.9,"purple vibes"
02:34.3,""
02:54.0,""
03:03.0,""
03:09.0,""
03:28.0,""
03:47.0,""
04:06.0,""
04:16.0,""
04:20.5,""
04:25.0,""
04:30.0,""
04:35.0,""
04:55.0,""
05:03.0,""
