time,comment
00:00.0,"mysterieus wit"
00:12.0,"vrolijk oranje"
00:36.0,"vrolijk oranje"
00:52.0,"vuurig rood"
01:14.0,"speels geel"
01:43.0,"vrolijk violet"
02:16.0,"rustig goud"
02:52.0,"machtig rood"
03:35.0,"stoer goud"
04:23.0,"stoer blauw"
05:00.0,"lente roos"
05:47.0,"vrolijk geel"
06:34.0,"welkom oranje"
07:03.0,"feest avond"
07:34.0,"chaos rood"
07:39.0,"drama paars"
08:15.0,"drama paars"
08:39.0,"zacht roos"
08:45.0,"zacht roze"
08:50.0,"roze spot"
08:59.0,"feest geel"
09:38.0,"einde"
