time,comment
00:00.0,"paars vrolijk"
01:06.0,"magisch wit"
02:05.0,"vrolijk rood"
03:03.8,"oorlog rood"
03:12.1,"rijkdom oranje"
03:46.4,"feest oranje"
04:54.3,"water blauw"
05:47.0,"natuur groen"
07:04.0,"water groen"
07:59.7,"trouw roze"
08:32.9,"vriendschap"
09:04.0, "einde"
