time,comment
00:00.0,"volgspot rechts"
00:04.0,"volgspot links"
00:09.0,"volgspot midden"
00:13.0,"wit dimmen"
00:16.0,"wit dimmen"
00:22.0,"flikkerend wit"
00:59.0,"rustig rood"
01:10.0,"intenser rood"
01:26.0,"rustig blauw"
01:42.0,"intenser lblw"
02:15.0,"happy geel"
02:20.0,"volgspot links"
02:25.0,"volgspot rechts"
02:30.0,"volgspot links"
02:35.0,"volgspot rechts"
02:40.0,"volgspots UIT"
02:55.0,"gelukkig enrg"
03:23.0,"2 volgspots"
03:46.0,"volgspots UIT"
03:50.0,"rode liefde"
04:39.0,"draaiend geel"
05:03.0,"RAWR rood+spots"
05:06.0,"groene spots"
05:30.0,"oranje feest"
06:01.0,"energiek geel"
06:32.0,"natuurlijk grn"
07:35.0,"blauwe reis"
08:15.0,"geelgroene zm"
08:46.0,"links geel x r"
09:00.0,"geelgroen"
10:00.0,"blauwe reis"
10:27.0,"rustig wit/gl"
10:47.0,"iets vrolijker"
11:30.0,"sadness"
12:11.0,"anger"
12:30.0,"disgust"
13:00.0,"fear"
13:33.0,"joy"
