time,comment
00:00.0,"Anton call"
00:12.0,""
00:14.0,""
00:22.0,""
00:34.0,""
01:03.0,""
01:11.0,""
01:37.0,""
01:53.0,""
02:22.0,""
02:42.0,""
03:05.0,""
03:08.0,""
03:11.0,""
03:26.0,""
03:44.0,""
